#FORMAT      : EMSA/MAS Spectral Data File
#VERSION     : 1.0
#TITLE       : Spectrum 15
#DATE        : 07-APR-2022
#TIME        : 17:25
#OWNER       : 
#NPOINTS     : 1024.0
#NCOLUMNS    : 1.0
#XUNITS      : keV
#YUNITS      : counts
#DATATYPE    : XY
#XPERCHAN    : 0.01
#OFFSET      : -0.1
#SIGNALTYPE  : EDS
#CHOFFSET    : 10.0
#LIVETIME    : 43.84091568
#REALTIME    : 45.540222168
#BEAMKV      : 10.0
#MAGCAM      : 1100.0
#XTILTSTGE   : 0.0
#AZIMANGLE   : 0.0
#ELEVANGLE   : 29.0
#XPOSITION mm: -3.9715
#YPOSITION mm: -9.8078
#ZPOSITION mm: 14.0000
##OXINSTPT   : 4
##OXINSTSTROB: 48.49
##OXINSTELEMS: 8,11,13,14,19,6,20,26
##OXINSTLABEL: 8, 0.525, O
##OXINSTLABEL: 11, 1.041, Na
##OXINSTLABEL: 13, 1.487, Al
##OXINSTLABEL: 14, 1.740, Si
##OXINSTLABEL: 19, 3.314, K
##OXINSTLABEL: 19, 3.590, K
##OXINSTLABEL: 19, 0.260, K
##OXINSTLABEL: 6, 0.277, C
##OXINSTLABEL: 20, 3.692, Ca
##OXINSTLABEL: 20, 4.013, Ca
##OXINSTLABEL: 20, 0.341, Ca
##OXINSTLABEL: 20, 0.303, Ca
##OXINSTLABEL: 26, 6.404, Fe
##OXINSTLABEL: 26, 7.058, Fe
##OXINSTLABEL: 26, 0.703, Fe
##OXINSTLABEL: 26, 0.615, Fe
#SPECTRUM    : Spectral Data Starts Here
1.85000, 282.0
1.86000, 218.0
1.87000, 198.0
1.88000, 142.0
1.89000, 119.0
1.90000, 83.0
1.91000, 75.0
1.92000, 81.0
1.93000, 60.0
1.94000, 52.0
1.95000, 61.0
1.96000, 62.0
1.97000, 65.0
1.98000, 66.0
1.99000, 60.0
2.00000, 65.0
2.01000, 72.0
2.02000, 71.0
2.03000, 68.0
2.04000, 64.0
2.05000, 72.0
2.06000, 66.0
2.07000, 57.0
2.08000, 62.0
2.09000, 63.0
2.10000, 55.0
2.11000, 59.0
2.12000, 61.0
2.13000, 59.0
2.14000, 59.0
2.15000, 51.0
2.16000, 53.0
2.17000, 55.0
2.18000, 59.0
2.19000, 67.0
2.20000, 61.0
2.21000, 58.0
2.22000, 53.0
2.23000, 61.0
2.24000, 64.0
2.25000, 61.0
2.26000, 67.0
2.27000, 54.0
2.28000, 68.0
2.29000, 69.0
2.30000, 64.0
2.31000, 63.0
2.32000, 54.0
2.33000, 66.0
2.34000, 62.0
2.35000, 67.0
2.36000, 73.0
2.37000, 74.0
2.38000, 66.0
2.39000, 57.0
2.40000, 55.0
2.41000, 65.0
2.42000, 69.0
2.43000, 65.0
2.44000, 62.0
2.45000, 64.0
2.46000, 59.0
2.47000, 63.0
2.48000, 61.0
2.49000, 58.0
2.50000, 58.0
2.51000, 58.0
2.52000, 57.0
2.53000, 63.0
2.54000, 71.0
2.55000, 68.0
2.56000, 60.0
2.57000, 66.0
2.58000, 70.0
2.59000, 69.0
2.60000, 74.0
2.61000, 69.0
2.62000, 67.0
2.63000, 74.0
2.64000, 67.0
2.65000, 68.0
2.66000, 65.0
2.67000, 61.0
2.68000, 70.0
2.69000, 66.0
2.70000, 61.0
2.71000, 61.0
2.72000, 74.0
2.73000, 58.0
2.74000, 59.0
2.75000, 59.0
2.76000, 54.0
2.77000, 56.0
2.78000, 67.0
2.79000, 57.0
2.80000, 53.0
2.81000, 61.0
2.82000, 58.0
2.83000, 60.0
2.84000, 64.0
2.85000, 58.0
2.86000, 59.0
2.87000, 53.0
2.88000, 55.0
2.89000, 62.0
2.90000, 63.0
2.91000, 57.0
2.92000, 65.0
2.93000, 58.0
2.94000, 54.0
