CCTVAIP x4300,AN2 4000x,AN2 4300x,CCVP_02 4300x,CCVP_03 4300x,CCVP_04 4300x,CCVP_05 4300x,CCVP_06 4300x,CC1960 4300x,CC1960 3700x
0.459,0.426,0.879,1.094,,0.472,0.22,,0.283,0.872
0.491,0.783,0.371,0.758,,0.4,0.459,,0.915,1.454
0.448,0.64,1.373,0.587,,0.27,1.097,,0.385,0.742
0.495,,0.389,0.844,,0.574,0.526,,0.848,0.494
0.298,,0.754,0.375,,0.34,0.257,,0.631,0.893
0.532,,0.496,0.746,,0.645,0.6,,0.36,1.239
0.642,,0.705,0.906,,0.322,0.502,,0.492,0.463
0.975,,0.411,0.422,,0.583,0.4,,,0.794
0.617,,0.4,0.337,,0.515,0.525,,,0.716
0.416,,0.225,0.287,,1.114,,,,0.477
0.298,,1.137,0.575,,0.34,,,,1.428
1.515,,0.365,0.589,,1.172,,,,0.722
0.56,,0.277,0.446,,0.99,,,,0.592
0.705,,0.851,0.209,,0.693,,,,1.028
0.298,,0.225,0.315,,0.76,,,,0.837
0.701,,0.726,0.773,,0.438,,,,0.316
0.442,,0.811,0.329,,0.737,,,,1.132
0.575,,0.67,0.686,,0.487,,,,0.325
0.289,,0.572,0.477,,0.6,,,,0.844
0.221,,0.45,0.3,,1.506,,,,1.749
0.422,,0.449,0.605,,0.456,,,,1.219
0.525,,0.259,0.348,,0.336,,,,0.569
0.781,,0.225,1.57,,0.552,,,,0.863
0.366,,0.485,0.497,,0.531,,,,1.65
0.496,,0.413,,,,,,,0.955
0.484,,0.626,,,,,,,0.555
0.358,,0.336,,,,,,,0.37
0.424,,0.253,,,,,,,1.91
0.5,,0.172,,,,,,,0.896
0.782,,0.953,,,,,,,1.079
0.638,,0.369,,,,,,,0.647
1.114,,0.469,,,,,,,1.256
0.712,,0.355,,,,,,,1.883
0.459,,0.207,,,,,,,0.941
0.592,,0.284,,,,,,,0.826
0.555,,0.563,,,,,,,0.711
0.33,,0.493,,,,,,,0.6
0.819,,1.03,,,,,,,0.74
0.476,,1.355,,,,,,,0.709
0.502,,0.592,,,,,,,0.388
0.686,,0.355,,,,,,,0.514
0.897,,0.277,,,,,,,1.063
0.295,,0.225,,,,,,,0.485
0.246,,0.396,,,,,,,1.23
1.013,,0.518,,,,,,,0.66
0.239,,0.449,,,,,,,0.795
0.422,,0.224,,,,,,,0.547
0.179,,0.611,,,,,,,1.893
0.34,,0.358,,,,,,,0.896
0.403,,0.499,,,,,,,0.442
0.385,,0.673,,,,,,,0.746
0.66,,0.251,,,,,,,0.457
0.461,,0.897,,,,,,,0.548
0.909,,0.336,,,,,,,0.35
0.338,,0.925,,,,,,,0.872
0.385,,0.243,,,,,,,0.616
0.456,,0.163,,,,,,,0.428
0.866,,0.219,,,,,,,0.64
0.793,,0.155,,,,,,,0.879
0.4,,0.336,,,,,,,0.522
0.782,,0.482,,,,,,,0.999
0.531,,0.28,,,,,,,0.476
0.447,,0.299,,,,,,,0.339
0.608,,0.267,,,,,,,1.041
0.283,,0.621,,,,,,,0.794
0.751,,0.301,,,,,,,0.616
0.372,,0.164,,,,,,,0.307
0.9,,0.449,,,,,,,0.234
0.347,,0.83,,,,,,,0.758
0.246,,0.311,,,,,,,0.337
0.909,,0.668,,,,,,,1.832
0.377,,0.536,,,,,,,0.439
0.755,,0.682,,,,,,,0.647
0.609,,0.371,,,,,,,0.447
1.155,,0.891,,,,,,,0.234
0.513,,0.761,,,,,,,0.379
0.351,,0.336,,,,,,,0.253
0.794,,0.241,,,,,,,
0.408,,0.218,,,,,,,
0.66,,0.28,,,,,,,
1.031,,,,,,,,,
0.431,,,,,,,,,
0.279,,,,,,,,,
0.806,,,,,,,,,
0.66,,,,,,,,,
0.203,,,,,,,,,
1.282,,,,,,,,,
0.736,,,,,,,,,
0.709,,,,,,,,,
0.597,,,,,,,,,
0.515,,,,,,,,,
0.272,,,,,,,,,
0.656,,,,,,,,,
1.006,,,,,,,,,
0.628,,,,,,,,,
0.478,,,,,,,,,
0.338,,,,,,,,,
0.245,,,,,,,,,
0.515,,,,,,,,,
0.603,,,,,,,,,
0.518,,,,,,,,,
0.61,,,,,,,,,
0.682,,,,,,,,,
0.634,,,,,,,,,
0.347,,,,,,,,,
0.38,,,,,,,,,
0.476,,,,,,,,,
0.654,,,,,,,,,
0.54,,,,,,,,,
0.4,,,,,,,,,
0.478,,,,,,,,,
0.843,,,,,,,,,
0.246,,,,,,,,,
0.221,,,,,,,,,
0.669,,,,,,,,,
0.422,,,,,,,,,
0.728,,,,,,,,,
0.376,,,,,,,,,
0.447,,,,,,,,,
1.021,,,,,,,,,
0.298,,,,,,,,,
0.344,,,,,,,,,
0.215,,,,,,,,,
0.382,,,,,,,,,
0.609,,,,,,,,,
0.275,,,,,,,,,
0.638,,,,,,,,,
0.524,,,,,,,,,
1.167,,,,,,,,,
0.871,,,,,,,,,
0.669,,,,,,,,,
0.638,,,,,,,,,
0.68,,,,,,,,,
0.459,,,,,,,,,
0.478,,,,,,,,,
0.422,,,,,,,,,
0.837,,,,,,,,,
0.364,,,,,,,,,
0.536,,,,,,,,,
0.19,,,,,,,,,
0.246,,,,,,,,,
0.325,,,,,,,,,
0.309,,,,,,,,,
0.611,,,,,,,,,
0.459,,,,,,,,,
0.892,,,,,,,,,
0.862,,,,,,,,,
0.304,,,,,,,,,
0.575,,,,,,,,,
0.419,,,,,,,,,
0.652,,,,,,,,,
0.631,,,,,,,,,
0.665,,,,,,,,,
0.618,,,,,,,,,
0.312,,,,,,,,,
0.389,,,,,,,,,
0.372,,,,,,,,,
0.459,,,,,,,,,
0.385,,,,,,,,,
0.712,,,,,,,,,
0.377,,,,,,,,,
0.204,,,,,,,,,
0.902,,,,,,,,,
0.314,,,,,,,,,
0.275,,,,,,,,,
0.289,,,,,,,,,
0.568,,,,,,,,,
0.498,,,,,,,,,
0.485,,,,,,,,,
0.203,,,,,,,,,
0.203,,,,,,,,,
